Leeftijd (op 31 december);Perioden;Mannen;Vrouwen
23;2015;0.00032;0.0001
23;2016;0.00041;0.00018
23;2017;0.00041;0.00017
23;2018;0.0003;0.00015
23;2019;0.00049;0.0003
24;2011;0.00048;0.00019
24;2012;0.00051;0.00017
24;2013;0.00035;0.00023
24;2014;0.00043;0.00022
24;2015;0.00041;0.00012
24;2016;0.00039;0.00017
24;2017;0.00051;0.00024
24;2018;0.00037;0.00018
24;2019;0.00026;0.00019
25;2011;0.00034;0.00023
25;2012;0.00052;0.00018
25;2013;0.00045;0.00012
25;2014;0.00048;0.00025
25;2015;0.00049;0.00018
25;2016;0.0004;0.00021
25;2017;0.00045;0.00017
25;2018;0.00046;0.00015
25;2019;0.00039;0.00015
25;2011;0.00039;0.00024
26;2012;0.00035;0.00021
26;2013;0.00045;0.00018
26;2014;0.00036;0.00019
26;2015;0.00048;0.00023
26;2016;0.00032;0.00026
26;2017;0.00048;0.00015
26;2018;0.0004;0.00025
26;2019;0.00038;0.00014
27;2011;0.00044;0.00025
27;2012;0.00049;0.00014
27;2013;0.00052;0.00022
27;2014;0.00044;0.00019
27;2015;0.00055;0.00022
27;2016;0.00048;0.00023
27;2017;0.00043;0.00019
27;2018;0.00037;0.00022
27;2019;0.0005;0.00029
28;2011;0.00045;0.00025
28;2012;0.00042;0.00015
28;2013;0.00042;0.00024
28;2014;0.00044;0.00031
28;2015;0.00041;0.0002
28;2016;0.00039;0.0003
28;2017;0.00047;0.00016
28;2018;0.00057;0.00017
28;2019;0.00043;0.00025
29;2011;0.00052;0.00032
29;2012;0.00047;0.0003
29;2013;0.00058;0.00028
29;2014;0.00041;0.0003
29;2015;0.0004;0.00028
29;2016;0.00044;0.00029
29;2017;0.00056;0.00023
29;2018;0.00046;0.0003
29;2019;0.00032;0.00038
30;2011;0.00055;0.00027
30;2012;0.00054;0.00027
30;2013;0.00056;0.00024
30;2014;0.00045;0.00031
30;2015;0.00048;0.0003
30;2016;0.00044;0.00029
30;2017;0.00041;0.00026
30;2018;0.00049;0.00027
30;2019;0.00052;0.00024
31;2011;0.00041;0.00029
31;2012;0.00044;0.00035
31;2013;0.00044;0.00032
31;2014;0.00061;0.00026
31;2015;0.00052;0.00023
31;2016;0.00054;0.00031
31;2017;0.00036;0.0003
31;2018;0.00065;0.00025
31;2019;0.00039;0.00027
32;2011;0.00059;0.00041
32;2012;0.00063;0.00031
32;2013;0.00046;0.00028
32;2014;0.00053;0.0003
32;2015;0.00053;0.00024
32;2016;0.00053;0.0004
32;2017;0.00056;0.00022
32;2018;0.00048;0.00045
32;2019;0.00051;0.00036
33;2011;0.00048;0.00035
33;2012;0.00077;0.00039
33;2013;0.00037;0.00039
33;2014;0.00061;0.00034
33;2015;0.00061;0.00029
33;2016;0.00069;0.00045
33;2017;0.00074;0.00037
33;2018;0.00054;0.0003
33;2019;0.00048;0.00032
34;2011;0.00067;0.00037
34;2012;0.00062;0.0004
34;2013;0.00053;0.00038
34;2014;0.00058;0.00039
34;2015;0.00053;0.00035
34;2016;0.00055;0.00038
34;2017;0.00047;0.00034
34;2018;0.0005;0.0003
34;2019;0.0006;0.00037
35;2011;0.00055;0.00034
35;2012;0.00067;0.00037
35;2013;0.00065;0.00028
35;2014;0.00072;0.00033
35;2015;0.0006;0.00053
35;2016;0.00068;0.00044
35;2017;0.00046;0.00047
35;2018;0.00066;0.00042
35;2019;0.00068;0.00042
36;2011;0.0006;0.00049
36;2012;0.00062;0.00035
36;2013;0.00086;0.0005
36;2014;0.00066;0.00034
36;2015;0.00065;0.00037
36;2016;0.00062;0.00044
36;2017;0.00073;0.00035
36;2018;0.00062;0.00038
36;2019;0.00071;0.00042
37;2011;0.00082;0.00057
37;2012;0.00066;0.00051
37;2013;0.00068;0.00037
37;2014;0.00075;0.00054
37;2015;0.00074;0.00049
37;2016;0.00068;0.00057
37;2017;0.00064;0.00044
37;2018;0.00082;0.00037
37;2019;0.00067;0.00036
38;2011;0.00096;0.00063
38;2012;0.00069;0.00061
38;2013;0.00071;0.00061
38;2014;0.00086;0.00044
38;2015;0.00067;0.00044
38;2016;0.00065;0.00051
38;2017;0.00076;0.00057
38;2018;0.00073;0.00046
38;2019;0.00078;0.00049
39;2011;0.00087;0.00074
39;2012;0.00082;0.00055
39;2013;0.00071;0.00061
39;2014;0.0007;0.00062
39;2015;0.00094;0.00059
39;2016;0.00062;0.00053
39;2017;0.0009;0.00065
39;2018;0.00077;0.00056
39;2019;0.00081;0.00054
40;2011;0.00094;0.00069
40;2012;0.001;0.00069
40;2013;0.00102;0.00063
40;2014;0.00087;0.00052
