Onderwerp;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bevolking naar leeftijd (op 1 januari)|Bevolking naar leeftijd, aantallen|Jonger dan 20 jaar;3913819;3894754;3870773;3846040;3828059;3818499;3817173;3810656;3791838;3775257
Bevolking naar leeftijd (op 1 januari)|Bevolking naar leeftijd, aantallen|20 tot 40 jaar;4162599;4141893;4120358;4117652;4134447;4163702;4206639;4253083;4309987;4381481
Bevolking naar leeftijd (op 1 januari)|Bevolking naar leeftijd, aantallen|40 tot 65 jaar;5984435;5977333;5964099;5946573;5930535;5911611;5898035;5878229;5866334;5858292
Bevolking naar leeftijd (op 1 januari)|Bevolking naar leeftijd, aantallen|65 tot 80 jaar;1927399;2030353;2121525;2201935;2272709;2336560;2395385;2460202;2515184;2570467
Bevolking naar leeftijd (op 1 januari)|Bevolking naar leeftijd, aantallen|80 jaar of ouder;667547;686015;702820;717089;734976;748748;764275;778914;798820;822088
