;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Totaal particuliere huishoudens;7443801;7512824;7569371;7590228;7665198;7720787;7794075;7857914;7924691;7997800
Meerpersoonshuishoudens zonder kinderen;2187823;2192158;2202863;2216508;2224618;2235783;2247191;2265409;2282297;2302921
Meerpersoonshuishoudens met kinderen;2547727;2558902;2564326;2569868;2572783;2578670;2585656;2594888;2604772;2615101
