Duur;Perioden;Aantal
39;2019;48587
39;2020;51678
40;2011;72801
40;2012;72416
40;2013;69508
40;2014;61940
40;2015;63318
40;2016;58166
40;2017;55360
40;2018;52915
40;2019;50090
40;2020;47803
41;2011;68317
41;2012;71496
41;2013;71102
41;2014;68175
41;2015;60842
41;2016;62158
41;2017;57075
41;2018;54409
41;2019;51923
41;2020;49201
42;2011;66775
42;2012;66893
42;2013;70027
42;2014;69705
42;2015;66883
42;2016;59643
42;2017;60971
42;2018;55958
42;2019;53335
42;2020;50950
43;2011;64117
43;2012;65324
43;2013;65403
43;2014;68615
43;2015;68333
43;2016;65559
43;2017;58472
43;2018;59771
43;2019;54889
43;2020;52312
44;2011;59968
44;2012;62520
44;2013;63726
44;2014;63882
44;2015;67076
44;2016;66816
44;2017;64171
44;2018;57191
44;2019;58428
44;2020;53708
45;2011;56696
45;2012;58259
45;2013;60797
45;2014;62079
45;2015;62373
45;2016;65321
45;2017;65177
45;2018;62632
45;2019;55862
45;2020;57115
46;2011;50845
46;2012;54908
46;2013;56535
46;2014;59105
46;2015;60396
46;2016;60738
46;2017;63618
46;2018;63558
46;2019;61043
46;2020;54480
47;2011;44852
47;2012;49109
47;2013;53092
47;2014;54768
47;2015;57284
47;2016;58672
47;2017;59020
47;2018;61842
47;2019;61838
47;2020;59467
48;2011;41497
48;2012;43179
48;2013;47315
48;2014;51113
48;2015;53029
48;2016;55399
48;2017;56835
48;2018;57241
48;2019;59989
48;2020;60108
49;2011;38599
49;2012;39810
49;2013;41409
49;2014;45441
49;2015;49127
49;2016;51058
49;2017;53424
49;2018;54941
49;2019;55341
49;2020;58102
50;2011;34224
50;2012;36728
50;2013;37982
50;2014;39517
50;2015;43565
50;2016;46985
50;2017;49023
50;2018;51466
50;2019;52939
50;2020;53374
51;2011;31403
51;2012;32428
51;2013;34799
51;2014;36110
51;2015;37589
51;2016;41510
51;2017;44878
51;2018;46919
51;2019;49353
51;2020;50818
52;2011;29851
52;2012;29480
52;2013;30522
52;2014;32845
52;2015;34133
52;2016;35570
52;2017;39393
52;2018;42671
52;2019;44697
52;2020;47141
53;2011;27086
53;2012;27839
53;2013;27548
53;2014;28623
53;2015;30844
53;2016;32117
53;2017;33511
53;2018;37169
53;2019;40333
53;2020;42425
54;2011;23413
54;2012;25024
54;2013;25735
54;2014;25591
54;2015;26649
54;2016;28701
54;2017;29959
54;2018;31413
54;2019;34862
54;2020;37946
55;2011;19646
55;2012;21296
55;2013;22793
55;2014;23671
55;2015;23625
55;2016;24556
55;2017;26606
55;2018;27728
55;2019;29240
55;2020;32439
56;2011;16576
56;2012;17608
56;2013;19273
56;2014;20645
56;2015;21567
56;2016;21469
56;2017;22422
56;2018;24506
56;2019;25510
56;2020;26979
57;2011;13586
57;2012;14811
57;2013;15630
57;2014;17165
57;2015;18568
57;2016;19420
57;2017;19469
57;2018;20312
57;2019;22242
57;2020;23246
58;2011;11315
58;2012;11920
58;2013;12992
58;2014;13864
58;2015;15273
58;2016;16482
58;2017;17369
58;2018;17330
58;2019;18229
58;2020;20044
59;2011;9344
59;2012;9826
59;2013;10259
59;2014;11223
59;2015;12122
59;2016;13339
59;2017;14466
59;2018;15245
59;2019;15283
59;2020;16238
60;2011;6559
60;2012;7910
60;2013;8305
60;2014;8760
60;2015;9634
60;2016;10332
60;2017;11439
60;2018;12494
60;2019;13145
60;2020;13258
61;2011;5000
61;2012;5459
61;2013;6613
61;2014;6925
61;2015;7336
61;2016;8085
61;2017;8664
61;2018;9700
61;2019;10552
61;2020;11235
62;2011;3989
62;2012;4073
62;2013;4414
62;2014;5387
62;2015;5729
62;2016;6004
